n,repeat,round,total_ms,avg_ms,first_result
121,1000,1,8.07985,0.00807985,5868
121,1000,2,6.96893,0.00696893,5868
121,1000,3,8.78607,0.00878607,5868
122,1000,1,6.98002,0.00698002,5874
122,1000,2,8.0492,0.0080492,5874
122,1000,3,7.01359,0.00701359,5874
123,1000,1,7.76697,0.00776697,5886
123,1000,2,7.87736,0.00787736,5886
123,1000,3,7.29039,0.00729039,5886
124,1000,1,10.121,0.010121,5906
124,1000,2,6.94583,0.00694583,5906
124,1000,3,8.05965,0.00805965,5906
125,1000,1,7.12871,0.00712871,5936
125,1000,2,9.26936,0.00926936,5936
125,1000,3,7.09175,0.00709175,5936
126,1000,1,7.42709,0.00742709,5978
126,1000,2,7.61887,0.00761887,5978
126,1000,3,12.6371,0.0126371,5978
127,1000,1,9.79533,0.00979533,6034
127,1000,2,7.59715,0.00759715,6034
127,1000,3,9.08128,0.00908128,6034
128,1000,1,7.53155,0.00753155,6106
128,1000,2,11.023,0.011023,6106
128,1000,3,9.01325,0.00901325,6106
129,500,1,3.96604,0.00793209,6196
129,500,2,5.68521,0.0113704,6196
129,500,3,3.86513,0.00773026,6196
130,500,1,4.10072,0.00820144,6306
130,500,2,5.17774,0.0103555,6306
130,500,3,4.02875,0.0080575,6306
131,500,1,4.01423,0.00802847,6318
131,500,2,4.0779,0.00815579,6318
131,500,3,4.05062,0.00810124,6318
132,500,1,4.07542,0.00815084,6344
132,500,2,4.36469,0.00872938,6344
132,500,3,4.05782,0.00811565,6344
133,500,1,4.13364,0.00826727,6386
133,500,2,4.63481,0.00926962,6386
133,500,3,4.24615,0.00849231,6386
134,500,1,5.93619,0.0118724,6446
134,500,2,4.28984,0.00857967,6446
134,500,3,4.24695,0.0084939,6446
135,500,1,4.37417,0.00874835,6526
135,500,2,5.64333,0.0112867,6526
135,500,3,4.44927,0.00889853,6526
136,500,1,4.37279,0.00874558,6628
136,500,2,5.43466,0.0108693,6628
136,500,3,4.59979,0.00919958,6628
137,500,1,4.37009,0.00874017,6635
137,500,2,4.5125,0.00902501,6635
137,500,3,5.46086,0.0109217,6635
138,500,1,4.4026,0.00880521,6651
138,500,2,4.33012,0.00866024,6651
138,500,3,7.02543,0.0140509,6651
139,500,1,4.92821,0.00985641,6678
139,500,2,4.52779,0.00905557,6678
139,500,3,5.75529,0.0115106,6678
140,500,1,4.80863,0.00961725,6718
140,500,2,4.47318,0.00894636,6718
140,500,3,4.77409,0.00954818,6718
141,500,1,5.226,0.010452,6723
141,500,2,4.53739,0.00907479,6723
141,500,3,4.56938,0.00913877,6723
142,500,1,5.91696,0.0118339,6735
142,500,2,4.78554,0.00957109,6735
142,500,3,4.72405,0.00944811,6735
143,500,1,6.76138,0.0135228,6756
143,500,2,5.27769,0.0105554,6756
143,500,3,4.83041,0.00966083,6756
144,500,1,7.09296,0.0141859,6788
144,500,2,6.92278,0.0138456,6788
144,500,3,7.19231,0.0143846,6788
145,500,1,5.02422,0.0100484,6833
145,500,2,4.91875,0.0098375,6833
145,500,3,4.81411,0.00962821,6833
146,500,1,5.62567,0.0112513,6893
146,500,2,5.18953,0.0103791,6893
146,500,3,5.36612,0.0107322,6893
147,500,1,5.30842,0.0106168,6970
147,500,2,5.47356,0.0109471,6970
147,500,3,5.37316,0.0107463,6970
148,500,1,4.98048,0.00996096,7066
148,500,2,8.0825,0.016165,7066
148,500,3,5.81892,0.0116378,7066
149,500,1,5.1056,0.0102112,7183
149,500,2,5.15024,0.0103005,7183
149,500,3,6.27313,0.0125463,7183
150,500,1,7.73063,0.0154613,7323
150,500,2,7.33375,0.0146675,7323
150,500,3,5.52013,0.0110402,7323
151,500,1,5.81359,0.0116272,7338
151,500,2,6.42402,0.012848,7338
151,500,3,5.83874,0.0116775,7338
152,500,1,7.63307,0.0152661,7370
152,500,2,7.06579,0.0141316,7370
152,500,3,5.37649,0.010753,7370
153,500,1,5.7546,0.0115092,7421
153,500,2,6.51158,0.0130232,7421
153,500,3,5.46137,0.0109227,7421
154,500,1,6.11208,0.0122242,7425
154,500,2,5.73186,0.0114637,7425
154,500,3,5.97022,0.0119404,7425
155,500,1,6.84457,0.0136891,7435
155,500,2,6.87636,0.0137527,7435
155,500,3,7.18245,0.0143649,7435
156,500,1,5.89718,0.0117944,7453
156,500,2,6.83331,0.0136666,7453
156,500,3,5.97129,0.0119426,7453
157,500,1,5.88216,0.0117643,7481
157,500,2,5.81341,0.0116268,7481
157,500,3,6.86279,0.0137256,7481
158,500,1,7.85397,0.0157079,7521
158,500,2,9.04982,0.0180996,7521
158,500,3,6.47296,0.0129459,7521
159,500,1,6.34259,0.0126852,7575
159,500,2,6.67924,0.0133585,7575
159,500,3,6.12285,0.0122457,7575
160,500,1,5.95964,0.0119193,7645
160,500,2,5.95694,0.0119139,7645
160,500,3,5.97266,0.0119453,7645
161,500,1,6.07317,0.0121463,7653
161,500,2,6.00994,0.0120199,7653
161,500,3,12.235,0.02447,7653
162,500,1,8.13195,0.0162639,7671
162,500,2,10.3384,0.0206767,7671
162,500,3,8.69517,0.0173903,7671
163,500,1,8.76775,0.0175355,7701
163,500,2,7.40688,0.0148138,7701
163,500,3,6.53192,0.0130638,7701
164,500,1,8.39495,0.0167899,7745
164,500,2,6.60753,0.0132151,7745
164,500,3,9.12663,0.0182533,7745
165,500,1,6.28789,0.0125758,7805
165,500,2,6.341,0.012682,7805
165,500,3,6.54049,0.013081,7805
166,500,1,9.80335,0.0196067,7883
166,500,2,9.1132,0.0182264,7883
166,500,3,6.67733,0.0133547,7883
167,500,1,6.70955,0.0134191,7981
167,500,2,6.69253,0.0133851,7981
167,500,3,12.3268,0.0246536,7981
168,500,1,9.96732,0.0199346,8101
168,500,2,8.73441,0.0174688,8101
168,500,3,6.79576,0.0135915,8101
169,500,1,12.6789,0.0253578,8245
169,500,2,10.9352,0.0218704,8245
169,500,3,9.29836,0.0185967,8245
170,500,1,9.1598,0.0183196,8415
170,500,2,8.65218,0.0173044,8415
170,500,3,7.01639,0.0140328,8415
171,500,1,7.0386,0.0140772,8416
171,500,2,7.53061,0.0150612,8416
171,500,3,7.00208,0.0140042,8416
172,500,1,7.06632,0.0141326,8420
172,500,2,8.18163,0.0163633,8420
172,500,3,7.33364,0.0146673,8420
173,500,1,9.63457,0.0192691,8429
173,500,2,8.4877,0.0169754,8429
173,500,3,9.41705,0.0188341,8429
174,500,1,8.7885,0.017577,8445
174,500,2,7.72715,0.0154543,8445
174,500,3,8.82209,0.0176442,8445
175,500,1,8.0759,0.0161518,8470
175,500,2,8.05273,0.0161055,8470
175,500,3,7.66857,0.0153371,8470
176,500,1,7.35884,0.0147177,8506
176,500,2,7.53899,0.015078,8506
176,500,3,7.9519,0.0159038,8506
177,500,1,7.49568,0.0149914,8555
177,500,2,7.55316,0.0151063,8555
177,500,3,7.4504,0.0149008,8555
178,500,1,7.9785,0.015957,8619
178,500,2,7.70684,0.0154137,8619
178,500,3,10.8193,0.0216385,8619
179,500,1,11.6795,0.0233589,8700
179,500,2,8.29291,0.0165858,8700
179,500,3,10.6664,0.0213327,8700
180,500,1,9.18615,0.0183723,8800
180,500,2,10.7812,0.0215624,8800
180,500,3,7.81906,0.0156381,8800
181,500,1,7.79812,0.0155962,8811
181,500,2,7.77492,0.0155498,8811
181,500,3,7.81805,0.0156361,8811
182,500,1,9.04206,0.0180841,8835
182,500,2,11.1153,0.0222305,8835
182,500,3,8.18602,0.016372,8835
183,500,1,9.12274,0.0182455,8874
183,500,2,10.3908,0.0207815,8874
183,500,3,8.51817,0.0170363,8874
184,500,1,8.80903,0.0176181,8930
184,500,2,8.26101,0.016522,8930
184,500,3,9.26297,0.0185259,8930
185,500,1,8.35305,0.0167061,9005
185,500,2,8.74744,0.0174949,9005
185,500,3,12.4394,0.0248789,9005
186,500,1,8.46061,0.0169212,9101
186,500,2,10.2153,0.0204307,9101
186,500,3,8.34071,0.0166814,9101
187,500,1,10.1955,0.0203911,9220
187,500,2,8.44094,0.0168819,9220
187,500,3,13.484,0.026968,9220
188,500,1,9.69958,0.0193992,9228
188,500,2,9.36874,0.0187375,9228
188,500,3,10.3098,0.0206197,9228
189,500,1,10.4135,0.020827,9246
189,500,2,10.3701,0.0207402,9246
189,500,3,10.5271,0.0210542,9246
190,500,1,14.4709,0.0289418,9276
190,500,2,13.4494,0.0268989,9276
190,500,3,16.7646,0.0335291,9276
191,500,1,18.0588,0.0361176,9280
191,500,2,17.4654,0.0349307,9280
191,500,3,14.1096,0.0282192,9280
192,500,1,9.10568,0.0182114,9290
192,500,2,9.53171,0.0190634,9290
192,500,3,8.91962,0.0178392,9290
193,500,1,9.31274,0.0186255,9308
193,500,2,8.93348,0.017867,9308
193,500,3,9.35,0.0187,9308
194,500,1,11.6413,0.0232826,9336
194,500,2,9.63467,0.0192693,9336
194,500,3,10.7224,0.0214448,9336
195,500,1,13.6201,0.0272402,9376
195,500,2,12.9239,0.0258479,9376
195,500,3,9.59419,0.0191884,9376
196,500,1,11.0432,0.0220863,9430
196,500,2,9.33787,0.0186757,9430
196,500,3,9.85365,0.0197073,9430
197,500,1,9.57611,0.0191522,9500
197,500,2,9.4696,0.0189392,9500
197,500,3,10.3593,0.0207187,9500
198,500,1,10.7369,0.0214737,9588
198,500,2,14.4085,0.028817,9588
198,500,3,10.5541,0.0211083,9588
199,500,1,13.3145,0.026629,9696
199,500,2,11.9343,0.0238685,9696
199,500,3,11.9045,0.0238091,9696
200,500,1,12.0803,0.0241605,9826
200,500,2,14.9607,0.0299213,9826
200,500,3,13.0618,0.0261237,9826
201,500,1,9.88656,0.0197731,9840
201,500,2,13.0679,0.0261358,9840
201,500,3,15.8259,0.0316518,9840
202,500,1,12.8493,0.0256986,9870
202,500,2,11.2163,0.0224326,9870
202,500,3,10.9955,0.021991,9870
203,500,1,10.8475,0.0216951,9918
203,500,2,10.5772,0.0211544,9918
203,500,3,10.532,0.021064,9918
204,500,1,11.7973,0.0235946,9986
204,500,2,10.7906,0.0215812,9986
204,500,3,10.9411,0.0218821,9986
205,500,1,10.5316,0.0210631,9991
205,500,2,10.462,0.020924,9991
205,500,3,10.8386,0.0216772,9991
206,500,1,12.9621,0.0259241,10003
206,500,2,12.2226,0.0244452,10003
206,500,3,10.8991,0.0217983,10003
207,500,1,14.6431,0.0292863,10024
207,500,2,14.3989,0.0287978,10024
207,500,3,13.2817,0.0265635,10024
208,500,1,10.8381,0.0216761,10056
208,500,2,11.1635,0.0223269,10056
208,500,3,11.2128,0.0224256,10056
209,500,1,11.4434,0.0228869,10101
209,500,2,10.9798,0.0219597,10101
209,500,3,11.407,0.0228139,10101
210,500,1,11.9195,0.023839,10161
210,500,2,11.2853,0.0225706,10161
210,500,3,12.7574,0.0255148,10161
211,500,1,13.6277,0.0272554,10168
211,500,2,12.3549,0.0247098,10168
211,500,3,11.558,0.023116,10168
212,500,1,11.5702,0.0231403,10184
212,500,2,12.2434,0.0244868,10184
212,500,3,11.7208,0.0234415,10184
213,500,1,11.7154,0.0234309,10211
213,500,2,11.9687,0.0239374,10211
213,500,3,11.8911,0.0237822,10211
214,500,1,11.9155,0.023831,10251
214,500,2,12.8204,0.0256407,10251
214,500,3,12.8922,0.0257844,10251
215,500,1,12.2763,0.0245526,10306
215,500,2,12.7014,0.0254027,10306
215,500,3,12.4038,0.0248077,10306
216,500,1,12.8951,0.0257902,10378
216,500,2,13.7397,0.0274794,10378
216,500,3,14.0912,0.0281823,10378
217,500,1,12.2179,0.0244358,10469
217,500,2,14.4556,0.0289112,10469
217,500,3,13.6874,0.0273749,10469
218,500,1,14.3329,0.0286659,10581
218,500,2,19.0451,0.0380902,10581
218,500,3,13.0062,0.0260124,10581
219,500,1,13.1032,0.0262064,10716
219,500,2,13.1088,0.0262176,10716
219,500,3,13.3638,0.0267275,10716
220,500,1,13.5029,0.0270058,10876
220,500,2,15.6192,0.0312384,10876
220,500,3,19.1155,0.0382311,10876
221,500,1,15.5596,0.0311192,10893
221,500,2,14.3881,0.0287762,10893
221,500,3,18.2906,0.0365812,10893
222,500,1,17.7193,0.0354386,10895
222,500,2,19.4862,0.0389725,10895
222,500,3,21.3915,0.042783,10895
223,500,1,20.0055,0.0400109,10901
223,500,2,17.775,0.03555,10901
223,500,3,17.2078,0.0344155,10901
224,500,1,21.3762,0.0427524,10913
224,500,2,18.2439,0.0364878,10913
224,500,3,14.5566,0.0291133,10913
225,500,1,18.27,0.0365399,10933
225,500,2,15.1538,0.0303075,10933
225,500,3,14.805,0.02961,10933
226,500,1,21.5839,0.0431679,10963
226,500,2,15.4086,0.0308172,10963
226,500,3,15.6399,0.0312798,10963
227,500,1,18.9451,0.0378903,11005
227,500,2,24.8025,0.0496049,11005
