n,naive_avg_ms,cache_opt_avg_ms,time_ratio
262,0.05143546666666667,0.0371066,1.3861541253218208
263,0.04820266666666667,0.0268955,1.7922205077677185
264,0.05053433333333333,0.023604533333333334,2.140874069387801
265,0.04741626666666667,0.024546866666666667,1.9316626969362012
266,0.048726266666666664,0.02474933333333333,1.9687910785475704
267,0.048323366666666666,0.023907366666666666,2.021275171808968
268,0.05135716666666667,0.024770266666666665,2.073339272353413
269,0.062130200000000003,0.024263933333333335,2.5605988586626514
270,0.060198466666666665,0.02562616666666667,2.3491015043217542
271,0.07704696666666666,0.026310966666666668,2.928321397034696
272,0.06768203333333334,0.026652933333333333,2.53938403277688
273,0.056695166666666665,0.027375,2.071056316590563
274,0.05864,0.0285673,2.0526966146608183
275,0.07187476666666666,0.02881593333333333,2.4942716876542836
276,0.07916079999999999,0.0296638,2.668599437698474
277,0.052104866666666666,0.028238600000000003,1.8451646564159223
278,0.07410976666666667,0.0276153,2.6836487985524937
279,0.052167433333333325,0.027027,1.9301969635302967
280,0.0618765,0.029355000000000003,2.1078691875319366
281,0.07590263333333334,0.027990733333333333,2.711705778817276
282,0.0770822,0.028467933333333334,2.707685138132027
283,0.05628316666666666,0.026440033333333335,2.128710125176342
284,0.0626791,0.02942533333333333,2.1301067107707645
285,0.0540409,0.027136300000000002,1.9914616215180403
286,0.07362766666666666,0.0297174,2.4775944957050973
287,0.0742636,0.03324166666666666,2.234051642015543
288,0.07322816666666666,0.0315206,2.3231844148482788
289,0.06735003333333334,0.02873356666666667,2.343949643100346
290,0.06766393333333333,0.028335866666666668,2.3879253149130193
291,0.0654017,0.02995513333333333,2.183321945932472
292,0.06063503333333333,0.03215233333333333,1.8858672776470344
293,0.06596586666666666,0.0310481,2.124634572378557
294,0.060497699999999995,0.03589436666666667,1.6854371763071454
295,0.06191196666666667,0.033336899999999996,1.8571602838496284
296,0.06985963333333332,0.028538033333333334,2.4479484103669837
297,0.06691763333333334,0.029878166666666667,2.2396833808410825
298,0.06087206666666667,0.0298765,2.037456417808869
299,0.0779546,0.0341355,2.2836812116418392
